날짜,종가,오픈,고가,저가,거래량
2020년 09월 23일,30964,3115,31167,30346,20601000
2020년 09월 22일,30882,31553,31602,3074,30139000
2020년 09월 21일,31589,31813,32086,31478,165860000
2020년 09월 18일,31839,3192,31981,31662,153540000
2020년 09월 17일,318,3213,32223,31692,178300000
2020년 09월 16일,32231,32314,32419,32152,146880000
2020년 09월 15일,32336,32182,32357,32054,152450000
2020년 09월 14일,32098,31983,32122,31854,176780000
2020년 09월 11일,31645,31564,31677,3132,165160000
2020년 09월 10일,31653,31792,31838,31546,234270000
2020년 09월 09일,31377,31354,3159,3129,198500000
2020년 09월 08일,31738,31631,31743,31456,227270000
2020년 09월 07일,31367,31208,31444,31093,264670000
2020년 09월 04일,31203,30825,31264,30804,408030000
2020년 09월 03일,31643,31473,31746,31445,342180000
2020년 09월 02일,3115,31169,31292,30852,337040000
2020년 09월 01일,30981,30908,31115,30763,342810000
2020년 08월 31일,30714,31546,31611,30712,312180000
2020년 08월 28일,31224,31386,31595,31106,256410000
2020년 08월 27일,31138,31446,31517,31137,175570000
2020년 08월 26일,31419,31361,31508,30974,193540000
2020년 08월 25일,31359,31245,31414,31057,197820000
2020년 08월 24일,30933,30686,31027,30339,142210000
2020년 08월 21일,30616,30617,30988,30315,166300000
2020년 08월 20일,30159,31045,31277,30115,249740000
2020년 08월 19일,31354,31596,31682,31318,159930000
2020년 08월 18일,31284,31957,32169,3112,247520000
2020년 08월 14일,31924,32159,32266,31628,260400000
2020년 08월 13일,32333,32584,32622,31966,285740000
2020년 08월 12일,32268,32031,32268,3173,293140000
2020년 08월 11일,32102,31763,32264,31756,297600000
2020년 08월 10일,31677,31275,31784,31208,261180000
2020년 08월 07일,31257,31199,31411,310,299120000
2020년 08월 06일,31132,30788,31284,30788,254200000
2020년 08월 05일,30664,30394,30667,30291,210810000
2020년 08월 04일,30304,3025,30427,30148,219870000
2020년 08월 03일,29946,29957,30033,29757,179730000
2020년 07월 31일,29932,30369,30416,29889,201960000
2020년 07월 30일,30185,30313,30413,30149,191760000
2020년 07월 29일,30125,30057,30351,29961,264440000
2020년 07월 28일,30013,29653,30134,29638,301280000
2020년 07월 27일,29351,29103,29526,29082,193240000
2020년 07월 24일,29066,28984,29274,28942,216210000
2020년 07월 23일,29237,29362,29362,29049,250980000
2020년 07월 22일,29404,29471,29614,29339,327320000
2020년 07월 21일,29516,29403,29611,2932,366990000
2020년 07월 20일,29081,29276,29276,28901,161820000
2020년 07월 17일,29157,2899,2921,2899,118640000
2020년 07월 16일,28925,29234,29274,28846,129450000
2020년 07월 15일,29227,29294,29442,29089,168350000
2020년 07월 14일,28963,28842,28963,28689,126300000
2020년 07월 13일,28984,28792,29049,28686,127050000
2020년 07월 10일,28506,28787,28809,28351,136770000
2020년 07월 09일,28725,2878,28941,28708,140610000
2020년 07월 08일,28597,2872,28841,28518,119450000
2020년 07월 07일,28677,29274,29298,28676,156130000
2020년 07월 06일,29062,28684,29114,28631,128120000
2020년 07월 03일,28589,28559,28609,28336,100220000
2020년 07월 02일,28386,2813,28389,28071,111370000
2020년 07월 01일,28026,2831,28384,27944,133800000
2020년 06월 30일,28009,28255,28398,28009,179500000
2020년 06월 29일,27804,27936,28177,27706,137760000
2020년 06월 26일,28338,28336,28458,28065,169010000
2020년 06월 25일,27973,28238,28436,27973,152980000
2020년 06월 24일,2867,28371,2883,2833,200570000
2020년 06월 23일,28194,28464,28604,27926,163680000
2020년 06월 22일,28142,28101,28371,28034,139840000
2020년 06월 19일,28337,28456,2847,27853,189130000
2020년 06월 18일,28191,28174,28339,28002,181590000
2020년 06월 17일,28302,28208,2849,27833,337220000
2020년 06월 16일,28259,27589,28259,274,247890000
2020년 06월 15일,26795,27861,28087,26795,262440000
2020년 06월 12일,28178,27697,28254,27605,232830000
2020년 06월 11일,28862,28998,29208,28429,275900000
2020년 06월 10일,2919,29103,29292,2896,229070000
2020년 06월 09일,29132,29396,29487,28783,268570000
2020년 06월 08일,29077,29541,29568,28971,286660000
2020년 06월 05일,29062,2863,2915,2845,282060000
2020년 06월 04일,28645,29117,2929,28493,364580000
2020년 06월 03일,28591,27914,28749,27898,476500000
2020년 06월 02일,27608,27265,27647,27222,251030000
2020년 06월 01일,27319,26929,27339,26893,171510000
2020년 05월 29일,26832,26662,26961,26523,269470000
2020년 05월 28일,26829,27017,27144,26485,248930000
2020년 05월 27일,26764,26671,26917,26586,247180000
2020년 05월 26일,26731,26348,26731,26295,175420000
2020년 05월 25일,26276,26095,26282,25916,125430000
2020년 05월 22일,25962,26382,26407,25834,166030000
2020년 05월 21일,26374,26452,26485,26307,159480000
2020년 05월 20일,26272,26048,26325,26048,140300000
2020년 05월 19일,26179,26112,26234,25996,253330000
2020년 05월 18일,25544,25455,25631,25295,223000000
2020년 05월 15일,25379,25534,25549,25202,228900000
2020년 05월 14일,25365,25326,25439,25209,167640000
2020년 05월 13일,25585,25003,25585,24995,141250000
2020년 05월 12일,25337,25533,25556,25098,166800000
2020년 05월 11일,25495,25767,25887,25459,144300000
2020년 05월 08일,25662,25666,25829,25623,125220000
2020년 05월 07일,25446,25388,25614,25337,114360000
2020년 05월 06일,255,25376,25501,25126,133280000
2020년 05월 04일,2506,25244,2537,25034,174040000
2020년 04월 29일,25815,25658,25967,25604,184480000
2020년 04월 28일,25639,25591,25734,25322,172420000
2020년 04월 27일,25484,25118,25579,25061,151360000
2020년 04월 24일,25028,25247,25286,24919,154310000
2020년 04월 23일,25374,25342,25522,25158,163810000
2020년 04월 22일,25188,24616,25218,24456,184500000
2020년 04월 21일,2494,25026,25188,24511,257160000
2020년 04월 20일,25214,25385,25593,25146,211000000
2020년 04월 17일,25502,25252,25737,25238,287360000
2020년 04월 16일,2471,24499,24787,24361,197540000
2020년 04월 14일,24745,2462,24855,24458,193120000
2020년 04월 13일,2434,24659,2469,24339,195900000
2020년 04월 10일,248,24514,24821,24402,286110000
2020년 04월 09일,24561,24613,24646,24311,175940000
2020년 04월 08일,24189,24371,24699,24177,173120000
2020년 04월 07일,24487,24565,24739,24068,224450000
2020년 04월 06일,24081,2344,24119,23375,190740000
2020년 04월 03일,2317,23248,23445,22923,181040000
2020년 04월 02일,23184,22747,23222,2236,181790000
2020년 04월 01일,22635,23423,23752,22634,228580000
2020년 03월 31일,23682,2352,23747,2325,240440000
2020년 03월 30일,23245,22705,2347,22509,167230000
2020년 03월 27일,23379,23911,23948,22701,249100000
2020년 03월 26일,22934,23191,23661,22922,290840000
2020년 03월 25일,23289,22837,23342,22474,306110000
2020년 03월 24일,22034,20765,22034,20541,225730000
2020년 03월 23일,20187,2008,20666,19867,210300000
2020년 03월 20일,21367,20484,21408,20054,269350000
2020년 03월 19일,19928,22072,22085,19627,303560000
2020년 03월 18일,21583,22863,23004,21581,208040000
2020년 03월 17일,22689,22294,23456,22246,216730000
2020년 03월 16일,23297,24521,24521,23276,175050000
2020년 03월 13일,24065,23171,24619,22736,298900000
2020년 03월 12일,24762,25393,25549,24376,242470000
2020년 03월 11일,25701,26463,26504,25569,194210000
2020년 03월 10일,26467,26194,26557,26075,173090000
2020년 03월 09일,26311,26639,26775,26176,182670000
2020년 03월 06일,2751,27674,27831,274,140900000
2020년 03월 05일,28138,28066,28205,27791,147440000
2020년 03월 04일,27813,27013,2789,27013,208460000
2020년 03월 03일,27156,27744,27754,27079,146720000
2020년 03월 02일,27037,26959,2726,2657,163720000
2020년 02월 28일,26802,27233,27398,26723,202610000
2020년 02월 27일,27709,27946,28109,27607,110500000
2020년 02월 26일,27994,27845,28198,27768,119550000
2020년 02월 25일,28424,28048,28463,27977,117030000
2020년 02월 24일,28102,28551,28662,28102,132820000
2020년 02월 21일,29242,29216,29524,29196,100710000
2020년 02월 20일,29665,30034,30135,29501,90010000
2020년 02월 19일,29833,29968,30038,29553,84260000
2020년 02월 18일,29774,30026,30129,2972,84750000
2020년 02월 17일,30276,30284,30405,30099,84280000
2020년 02월 14일,30301,30095,3042,29918,80530000
2020년 02월 13일,30093,30279,30443,30048,115070000
2020년 02월 12일,30154,29983,3022,29809,110630000
2020년 02월 11일,29928,29791,3011,29748,78350000
2020년 02월 10일,29624,29407,29673,29333,72220000
2020년 02월 07일,29821,29959,30005,29601,108110000
2020년 02월 06일,30065,29474,30098,29432,110220000
2020년 02월 05일,29202,29357,29426,2903,102640000
2020년 02월 04일,29068,28519,29138,28511,105450000
2020년 02월 03일,28505,28017,28624,27978,111060000
2020년 01월 31일,28453,29024,29147,28453,101460000
2020년 01월 30일,28837,29327,29411,28709,101540000
2020년 01월 29일,29398,29438,29567,29245,85730000
2020년 01월 28일,29277,29498,2963,2913,130170000
2020년 01월 23일,30233,30377,30472,30171,86910000
